# Wordlist

# META
@date:2012-11-23
@source_author:Huber, Randall Q. & Reed, Robert B.
@source_title:VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_year:1992
@url:http://www.quanthistling.info/data/source/huber1992/wordlist.html

# DATA
ID	DOCULECT	TOKENS	CONCEPT	QLCID	COUNTERPART
19075	orejón	u i b i̵	ABAJO_DOWN	huber1992/orejón/ABAJO_DOWN	uibi̵
19514	piapoco	k a a l i u k u l e	ABAJO_DOWN	huber1992/piapoco/ABAJO_DOWN	káaliukulé
19871	puinave	m õ n õ # h a	ABAJO_DOWN	huber1992/puinave/ABAJO_DOWN	mõnõ ha
20223	resígaro	h i p o o	ABAJO_DOWN	huber1992/resígaro/ABAJO_DOWN	hipóo
20583	sáliba	u b e n a	ABAJO_DOWN	huber1992/sáliba/ABAJO_DOWN	ubena
20937	siona	j i h a kʷ a	ABAJO_DOWN	huber1992/siona/ABAJO_DOWN	jihakʷa
21322	siriano	d o k a	ABAJO_DOWN	huber1992/siriano/ABAJO_DOWN	doká
21693	tatuyo	k a ẽ õ r õ	ABAJO_DOWN	huber1992/tatuyo/ABAJO_DOWN	káẽ́õrõ
21694	tatuyo	k a r o k a	ABAJO_DOWN	huber1992/tatuyo/ABAJO_DOWN	káróka
22080	tucano	d o k a	ABAJO_DOWN	huber1992/tucano/ABAJO_DOWN	doká
22476	embera Tadó	e ɗ a	ABAJO_DOWN	huber1992/embera Tadó/ABAJO_DOWN	eɗá
22873	tanimuca	r o k a	ABAJO_DOWN	huber1992/tanimuca/ABAJO_DOWN	roka
22874	tanimuca	j e ʔ p a	ABAJO_DOWN	huber1992/tanimuca/ABAJO_DOWN	jeʔpa
23216	tunebo central	i s u r a	ABAJO_DOWN	huber1992/tunebo central/ABAJO_DOWN	ísura
23760	tsafiqui pila	t o b i	ABAJO_DOWN	huber1992/tsafiqui pila/ABAJO_DOWN	tobi
23761	tsafiqui pila	p e l e ts i	ABAJO_DOWN	huber1992/tsafiqui pila/ABAJO_DOWN	peletsi
23762	tsafiqui pila	t e n p e	ABAJO_DOWN	huber1992/tsafiqui pila/ABAJO_DOWN	tenpe
24060	totoró	p a n t z i̵	ABAJO_DOWN	huber1992/totoró/ABAJO_DOWN	pantzi̵
