# Wordlist

# META
@date:2012-11-23
@source_author:Huber, Randall Q. & Reed, Robert B.
@source_title:VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_year:1992
@url:http://www.quanthistling.info/data/source/huber1992/wordlist.html

# DATA
ID	QLCID	CONCEPT	COUNTERPART	DOCULECT	TOKENS
22874	huber1992/tanimuca/ABAJO_DOWN	ABAJO_DOWN	jeʔpa	tanimuca	j e ʔ p a
23216	huber1992/tunebo central/ABAJO_DOWN	ABAJO_DOWN	ísura	tunebo central	í s u r a
23760	huber1992/tsafiqui pila/ABAJO_DOWN	ABAJO_DOWN	tobi	tsafiqui pila	t o b i
23761	huber1992/tsafiqui pila/ABAJO_DOWN	ABAJO_DOWN	peletsi	tsafiqui pila	p e l e t s i
23762	huber1992/tsafiqui pila/ABAJO_DOWN	ABAJO_DOWN	tenpe	tsafiqui pila	t e n p e
24060	huber1992/totoró/ABAJO_DOWN	ABAJO_DOWN	pantzi̵	totoró	p a n t z i̵
24434	huber1992/tuyuca/ABAJO_DOWN	ABAJO_DOWN	doká	tuyuca	d o k á
24969	huber1992/waimaja/ABAJO_DOWN	ABAJO_DOWN	doká	waimaja	d o k á
25431	huber1992/wounaan/ABAJO_DOWN	ABAJO_DOWN	eeg	wounaan	e e g
25821	huber1992/wanano/ABAJO_DOWN	ABAJO_DOWN	doka	wanano	d o k a
26358	huber1992/wayuu/ABAJO_DOWN	ABAJO_DOWN	móluʔu	wayuu	m ó l u ʔ u
26359	huber1992/wayuu/ABAJO_DOWN	ABAJO_DOWN	mmóluʔu	wayuu	m m ó l u ʔ u
26360	huber1992/wayuu/ABAJO_DOWN	ABAJO_DOWN	unáapi̵naa	wayuu	u n á a p i̵ n a a
26785	huber1992/yucuna/ABAJO_DOWN	ABAJO_DOWN	kawaká	yucuna	k a w a k á
27129	huber1992/yukpa/ABAJO_DOWN	ABAJO_DOWN	kámpano	yukpa	k á m p a n o
27514	huber1992/yurutí/ABAJO_DOWN	ABAJO_DOWN	dókaa	yurutí	d ó k a a
#
142	huber1992/kamsá/ABEJA_BEE	ABEJA_BEE	txowána	kamsá	t x o w á n a
549	huber1992/Español/ABEJA_BEE	ABEJA_BEE	abeja	Español	a b e j a
1021	huber1992/English/ABEJA_BEE	ABEJA_BEE	bee	English	b e e
1395	huber1992/achagua/ABEJA_BEE	ABEJA_BEE	máaba	achagua	m á a b a
1787	huber1992/epena Saija/ABEJA_BEE	ABEJA_BEE	kʰími	epena Saija	k ʰ í m i
2172	huber1992/awa/ABEJA_BEE	ABEJA_BEE	wã	awa	w ã
2173	huber1992/awa/ABEJA_BEE	ABEJA_BEE	walkan	awa	w a l k a n
2174	huber1992/awa/ABEJA_BEE	ABEJA_BEE	wimal	awa	w i m a l
2563	huber1992/epena basurudó/ABEJA_BEE	ABEJA_BEE	kʰikʰimí	epena basurudó	k ʰ i k ʰ i m í
3035	huber1992/bora/ABEJA_BEE	ABEJA_BEE	íímɯ́ʔóexpʰi	bora	í í m ɯ́ ʔ ó e x p ʰ i
3036	huber1992/bora/ABEJA_BEE	ABEJA_BEE	téʔtsʰipa	bora	t é ʔ t s ʰ i p a
3635	huber1992/giacone/ABEJA_BEE	ABEJA_BEE	ɲororeda	giacone	ɲ o r o r e d a
3916	huber1992/barí/ABEJA_BEE	ABEJA_BEE	moonə	barí	m o o n ə
4236	huber1992/bará/ABEJA_BEE	ABEJA_BEE	bũbĩãbĩ̵	bará	b ũ b ĩ ã b ĩ̵
4664	huber1992/guahibo/ABEJA_BEE	ABEJA_BEE	banamani̵to	guahibo	b a n a m a n i̵ t o
4665	huber1992/guahibo/ABEJA_BEE	ABEJA_BEE	ha:bi̵máni̵to	guahibo	h a : b i̵ m á n i̵ t o
5167	huber1992/barasana/ABEJA_BEE	ABEJA_BEE	beroabĩ̵	barasana	b e r o a b ĩ̵
5168	huber1992/barasana/ABEJA_BEE	ABEJA_BEE	beroabi̵ki̵	barasana	b e r o a b i̵ k i̵
5169	huber1992/barasana/ABEJA_BEE	ABEJA_BEE	hõbĩãbĩ̵	barasana	h õ b ĩ ã b ĩ̵
5703	huber1992/secoya/ABEJA_BEE	ABEJA_BEE	oʔa	secoya	o ʔ a
6060	huber1992/cha'palaachi/ABEJA_BEE	ABEJA_BEE	tanda	cha'palaachi	t a n d a
6389	huber1992/guambiano/ABEJA_BEE	ABEJA_BEE	mawaĩ	guambiano	m a w a ĩ
6776	huber1992/cuiba/ABEJA_BEE	ABEJA_BEE	bantománto	cuiba	b a n t o m á n t o
7231	huber1992/carijona/ABEJA_BEE	ABEJA_BEE	arama	carijona	a r a m a
7606	huber1992/macuna/ABEJA_BEE	ABEJA_BEE	beroabi̵ki̵	macuna	b e r o a b i̵ k i̵
8395	huber1992/guayabero/ABEJA_BEE	ABEJA_BEE	hi̵at	guayabero	h i̵ a t
8396	huber1992/guayabero/ABEJA_BEE	ABEJA_BEE	bant	guayabero	b a n t
8826	huber1992/embera chamí/ABEJA_BEE	ABEJA_BEE	kʰũɾãbaɾí	embera chamí	k ʰ ũ ɾ ã b a ɾ í
9221	huber1992/carapana/ABEJA_BEE	ABEJA_BEE	beroábĩ̵	carapana	b e r o á b ĩ̵
9598	huber1992/curripaco/ABEJA_BEE	ABEJA_BEE	maapa	curripaco	m a a p a
9944	huber1992/ika/ABEJA_BEE	ABEJA_BEE	ánga	ika	á n g a
10338	huber1992/catío/ABEJA_BEE	ABEJA_BEE	kʰõɾãbaɾí	catío	k ʰ õ ɾ ã b a ɾ í
10742	huber1992/cubeo/ABEJA_BEE	ABEJA_BEE	bũbĩ́di̵	cubeo	b ũ b ĩ́ d i̵
10743	huber1992/cubeo/ABEJA_BEE	ABEJA_BEE	kaidẽ́di̵	cubeo	k a i d ẽ́ d i̵
11193	huber1992/muinane/ABEJA_BEE	ABEJA_BEE	ní̵í̵bi̵ri	muinane	n í̵ í̵ b i̵ r i
11194	huber1992/muinane/ABEJA_BEE	ABEJA_BEE	mí̵i̵bi̵riʔi̵	muinane	m í̵ i̵ b i̵ r i ʔ i̵
11703	huber1992/desano/ABEJA_BEE	ABEJA_BEE	bõbẽ́bĩ̵	desano	b õ b ẽ́ b ĩ̵
12080	huber1992/inga/ABEJA_BEE	ABEJA_BEE	abix	inga	a b i x
12451	huber1992/dí̵mi̵na/ABEJA_BEE	ABEJA_BEE	ni̵nga	dí̵mi̵na	n i̵ n g a
12835	huber1992/embera Darién/ABEJA_BEE	ABEJA_BEE	kʰimí	embera Darién	k ʰ i m í
13167	huber1992/nukak/ABEJA_BEE	ABEJA_BEE	ʔewe⁴	nukak	ʔ e w e ⁴
13509	huber1992/jupda/ABEJA_BEE	ABEJA_BEE	wowoh	jupda	w o w o h
13826	huber1992/jitnu/ABEJA_BEE	ABEJA_BEE	toniát	jitnu	t o n i á t
14191	huber1992/koreguaje/ABEJA_BEE	ABEJA_BEE	oʔa	koreguaje	o ʔ a
14603	huber1992/páez/ABEJA_BEE	ABEJA_BEE	ʃiʔdʲ	páez	ʃ i ʔ d ʲ
14604	huber1992/páez/ABEJA_BEE	ABEJA_BEE	ʧiʔdʲ	páez	ʧ i ʔ d ʲ
15039	huber1992/kakua/ABEJA_BEE	ABEJA_BEE	belo⁴	kakua	b e l o ⁴
15488	huber1992/witoto mi̵ni̵ca/ABEJA_BEE	ABEJA_BEE	hiráŋo	witoto mi̵ni̵ca	h i r á ŋ o
15920	huber1992/kogui/ABEJA_BEE	ABEJA_BEE	haldikkə́bbe	kogui	h a l d i k k ə́ b b e
16328	huber1992/witoto ni̵pode/ABEJA_BEE	ABEJA_BEE	hiráŋo	witoto ni̵pode	h i r á ŋ o
16788	huber1992/miraña/ABEJA_BEE	ABEJA_BEE	íímɯ́ʔóehpʰi	miraña	í í m ɯ́ ʔ ó e h p ʰ i
16789	huber1992/miraña/ABEJA_BEE	ABEJA_BEE	téʔtsʰipa	miraña	t é ʔ t s ʰ i p a
17209	huber1992/piratapuyo/ABEJA_BEE	ABEJA_BEE	ubĩkĩ̵dĩ̵	piratapuyo	u b ĩ k ĩ̵ d ĩ̵
17611	huber1992/playero/ABEJA_BEE	ABEJA_BEE	banamí̵to	playero	b a n a m í̵ t o
18032	huber1992/witoto murui/ABEJA_BEE	ABEJA_BEE	hirakɯɲo	witoto murui	h i r a k ɯ ɲ o
18487	huber1992/ocaina/ABEJA_BEE	ABEJA_BEE	dʲoʔɯ́ɯ́rako	ocaina	d ʲ o ʔ ɯ́ ɯ́ r a k o
18913	huber1992/orejón/ABEJA_BEE	ABEJA_BEE	oa	orejón	o a
19240	huber1992/piapoco/ABEJA_BEE	ABEJA_BEE	máaba	piapoco	m á a b a
19657	huber1992/puinave/ABEJA_BEE	ABEJA_BEE	am	puinave	a m
19658	huber1992/puinave/ABEJA_BEE	ABEJA_BEE	dəm	puinave	d ə m
20009	huber1992/resígaro/ABEJA_BEE	ABEJA_BEE	maápú	resígaro	m a á p ú
20372	huber1992/sáliba/ABEJA_BEE	ABEJA_BEE	muĩgodi	sáliba	m u ĩ g o d i
20726	huber1992/siona/ABEJA_BEE	ABEJA_BEE	oʔa	siona	o ʔ a
21089	huber1992/siriano/ABEJA_BEE	ABEJA_BEE	wãrã́rĩ́	siriano	w ã r ã́ r ĩ́
21090	huber1992/siriano/ABEJA_BEE	ABEJA_BEE	beʔróabĩ̵	siriano	b e ʔ r ó a b ĩ̵
21466	huber1992/tatuyo/ABEJA_BEE	ABEJA_BEE	béróábĩ̵	tatuyo	b é r ó á b ĩ̵
21847	huber1992/tucano/ABEJA_BEE	ABEJA_BEE	bũbĩã́wĩ̵	tucano	b ũ b ĩ ã́ w ĩ̵
22248	huber1992/embera Tadó/ABEJA_BEE	ABEJA_BEE	kʰimí	embera Tadó	k ʰ i m í
22631	huber1992/tanimuca/ABEJA_BEE	ABEJA_BEE	bũbĩã	tanimuca	b ũ b ĩ ã
22999	huber1992/tunebo central/ABEJA_BEE	ABEJA_BEE	anubá	tunebo central	a n u b á
23000	huber1992/tunebo central/ABEJA_BEE	ABEJA_BEE	anbá	tunebo central	a n b á
23539	huber1992/tsafiqui pila/ABEJA_BEE	ABEJA_BEE	tsina	tsafiqui pila	t s i n a
23870	huber1992/totoró/ABEJA_BEE	ABEJA_BEE	pi̵li̵m miel	totoró	p i̵ l i̵ m # m i e l
24206	huber1992/tuyuca/ABEJA_BEE	ABEJA_BEE	bũbĩ́ãwĩ̵	tuyuca	b ũ b ĩ́ ã w ĩ̵
24638	huber1992/waimaja/ABEJA_BEE	ABEJA_BEE	utiábĩ̵	waimaja	u t i á b ĩ̵
24639	huber1992/waimaja/ABEJA_BEE	ABEJA_BEE	beroabĩ̵	waimaja	b e r o a b ĩ̵
25149	huber1992/wounaan/ABEJA_BEE	ABEJA_BEE	kʰekʰeman	wounaan	k ʰ e k ʰ e m a n
25586	huber1992/wanano/ABEJA_BEE	ABEJA_BEE	bĩkĩdãiro	wanano	b ĩ k ĩ d ã i r o
26025	huber1992/wayuu/ABEJA_BEE	ABEJA_BEE	mapá	wayuu	m a p á
26026	huber1992/wayuu/ABEJA_BEE	ABEJA_BEE	ʃiʃí mapá	wayuu	ʃ i ʃ í # m a p á
26548	huber1992/yucuna/ABEJA_BEE	ABEJA_BEE	munúmunú	yucuna	m u n ú m u n ú
26919	huber1992/yukpa/ABEJA_BEE	ABEJA_BEE	mĩ̵káma	yukpa	m ĩ̵ k á m a
26920	huber1992/yukpa/ABEJA_BEE	ABEJA_BEE	émi̵	yukpa	é m i̵
27275	huber1992/yurutí/ABEJA_BEE	ABEJA_BEE	bṍõbĩãwĩ̵	yurutí	b ṍ õ b ĩ ã w ĩ̵
#
171	huber1992/kamsá/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	mandorí̵ʃa	kamsá	m a n d o r í̵ ʃ a
584	huber1992/Español/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	achiote	Español	a c h i o t e
585	huber1992/Español/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bija	Español	b i j a
1053	huber1992/English/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	achiote	English	a c h i o t e
1819	huber1992/epena Saija/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	kʰã́iʧi	epena Saija	k ʰ ã́ i ʧ i
2206	huber1992/awa/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	pĩ̵	awa	p ĩ̵
2592	huber1992/epena basurudó/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	kʰãʧí	epena basurudó	k ʰ ã ʧ í
3092	huber1992/bora/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	néépapa	bora	n é é p a p a
3655	huber1992/giacone/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	pirimapa	giacone	p i r i m a p a
